manmade,metal,aluminum_1,288.15
manmade,metal,aluminum_2,309.55
manmade,metal,aluminum_3,308.55
manmade,metal,aluminum_foil_1,314.80
manmade,metal,black_matte_metal_1,318.00
manmade,metal,black_matte_metal_2,330.70
manmade,metal,corrugated_metal_1,297.25
manmade,metal,corrugated_metal_2,309.35
manmade,metal,corrugated_metal_3,314.85
manmade,metal,iron_plate_1,311.85
manmade,metal,polished_metal_1,318.30
manmade,metal,polished_metal_2,306.00
manmade,metal,semi_polshed_metal_1,315.80
manmade,metal,semi_polshed_metal_2,309.00
manmade,other,green_paint_1,293.75
manmade,other,posterboard_1,302.35
manmade,other,posterboard_2,302.95
manmade,other,posterboard_3,297.25
manmade,other,posterboard_4,297.25
manmade,other,roofing_rubber_1,324.20
manmade,other,roofing_rubber_2,318.00
manmade,other,silicon_rubber_1,315.15
manmade,other,silicon_rubber_2,324.15
manmade,other,silicon_rubber_3,300.35
manmade,other,styrofoam_1,319.20
manmade,other,tan_paint_1,290.85
manmade,textile,black_plastic_1,293.55
manmade,textile,black_plastic_2,304.20
manmade,textile,black_plastic_3,322.35
manmade,textile,black_plastic_4,326.85
manmade,textile,black_silt_screen_1,299.75
manmade,textile,black_silt_screen_2,317.85
manmade,textile,black_silt_screen_dull_1,297.85
manmade,textile,black_silt_screen_shiny_1,295.25
manmade,textile,black_speaker_cloth_1,307.65
manmade,textile,blue_tarp_1,320.35
manmade,textile,blue_tarp_2,310.35
manmade,textile,blue_tarp_3,301.95
manmade,textile,blue_tarp_dew_1,296.05
manmade,textile,burlap_1,301.85
manmade,textile,camo_canvas_1,318.85
manmade,textile,camo_canvas_2,309.35
manmade,textile,fall_woodland_camo_1,301.15
manmade,textile,fall_woodland_camo_2,302.05
manmade,textile,green_canvas_1,312.75
manmade,textile,green_canvas_2,307.15
manmade,textile,green_cotton_1,285.15
manmade,textile,green_kevlar_1,286.75
manmade,textile,green_nylon_1,282.95
manmade,textile,nylon_poncho_1,310.05
manmade,textile,nylon_poncho_2,305.15
manmade,textile,tyvek_1,303.95
manmade,textile,white_drop_cloth_1,318.35
manmade,textile,white_drop_cloth_2,317.65
manmade,textile,white_drop_cloth_3,308.35
manmade,textile,white_drop_cloth_4,297.65
manmade,textile,white_drop_cloth_5,302.15
manmade,textile,white_polyester_1,307.45
manmade,textile,white_polyester_2,306.15
manmade,textile,white_polyester_3,298.65
manmade,textile,woven_monofilament_netting_1,300.15
manmade,textile,yellow_canvas_1,302.15
manmade,wood,plywood_1,307.65
manmade,wood,plywood_2,309.25
natural,geologic,anthracite_coal_1,323.05
natural,geologic,bituminous_coal_1,316.25
natural,geologic,concrete_1,309.35
natural,geologic,concrete_2,310.45
natural,geologic,dolomite_1,299.75
natural,geologic,dolomitic_limestone_1,295.85
natural,geologic,dolomitic_limestone_2,298.05
natural,geologic,lignite_coal_1,317.85
natural,geologic,limestone_1,308.75
natural,geologic,marble_chips_1,308.65
natural,geologic,marble_chips_2,301.35
natural,geologic,marble_chips_3,298.15
natural,geologic,quartzite_1,310.15
natural,geologic,sub_bituminous_coal_1,324.15
natural,other,human_skin_1,307.65
natural,other,ice_water_1,279.95
natural,other,ice_water_2,275.35
natural,other,water_1,300.55
natural,soil,background_soil_1,303.15
natural,soil,background_soil_2,300.85
natural,soil,background_soil_dew_1,296.15
natural,soil,background_soil_wet_1,298.55
natural,soil,coarse_sand_1,320.20
natural,soil,coarse_sand_oil_1,323.20
natural,soil,fine_sand_1,314.20
natural,soil,fine_sand_oil_1,319.20
natural,soil,fine_silt_1,317.65
natural,soil,gravel_1,323.65
natural,soil,gravel_2,300.65
natural,soil,gravel_3,317.15
natural,soil,loose_road_1,310.45
natural,soil,loose_road_2,313.15
natural,soil,play_sand_1,300.45
natural,soil,play_sand_2,315.85
natural,soil,play_sand_3,308.15
natural,soil,play_sand_4,303.25
natural,soil,playa_1,290.65
natural,soil,playa_2,293.65
natural,soil,playa_3,297.25
natural,soil,playa_4,297.05
natural,soil,quartz_sand_1,290.35
natural,soil,road_1,330.65
natural,soil,road_2,310.85
natural,soil,road_3,309.75
natural,soil,road_4,301.25
natural,soil,road_5,305.15
natural,soil,road_6,309.75
natural,soil,road_7,307.15
natural,soil,sand_2,324.20
natural,soil,sand_3,310.95
natural,soil,sand_4,312.25
natural,soil,tuft_fresh_1,301.25
natural,soil,tuft_weathered_1,302.35
natural,soils,sand_1,306.00
natural,vegetation,bush_1,306.85
natural,vegetation,canopy_debris_1,296.55
natural,vegetation,canopy_debris_dew_1,297.15
natural,vegetation,grass_1,318.05
natural,vegetation,grass_dew_1,297.85
natural,vegetation,ironwood_needles_1,298.15
natural,vegetation,plants_1,297.35
natural,vegetation,plants_dew_1,295.65
natural,vegetation,waxy_leaf_1,300.65
