catagory,type,sample,temperature,lower,upper
manmade,metal,aluminum_1,350.6,13.4850217996,13.6575365458,
manmade,metal,aluminum_2,311.2,13.7160258655,13.8945366637,
manmade,metal,aluminum_3,311.8,11.9279664344,12.1083809796,
manmade,metal,aluminum_foil_1,265.7,13.6727899506,13.8496438027,
manmade,metal,black_matte_metal_1,320.9,13.7312377933,13.9096150364,
manmade,metal,black_matte_metal_2,331.7,13.5003909733,13.6727899506,
manmade,metal,corrugated_metal_1,295.0,13.7750179654,13.9550766259,
manmade,metal,corrugated_metal_2,310.1,13.5995436057,13.7750179654,
manmade,metal,corrugated_metal_3,316.1,13.4284806641,13.5995436057,
manmade,metal,iron_plate_1,312.2,13.7160258655,13.8945366637,
manmade,metal,polished_metal_1,294.9,13.6727899506,13.8496438027,
manmade,metal,polished_metal_2,301.8,13.7312377933,13.9096150364,
manmade,metal,semi_polshed_metal_1,315.2,13.6148370224,13.7901869182,
manmade,metal,semi_polshed_metal_2,308.6,13.6148370224,13.7901869182,
manmade,other,green_paint_1,318.8,12.6838983556,12.8880809857,
manmade,other,posterboard_1,300.1,12.2473116353,12.4375848911,
manmade,other,posterboard_2,301.6,13.5420407525,13.7160258655,
manmade,other,posterboard_3,295.5,11.5410387087,11.7528451606,
manmade,other,posterboard_4,295.8,11.9279664344,12.1083809796,
manmade,other,roofing_rubber_1,329.5,13.5573727484,13.7312377933,
manmade,other,roofing_rubber_2,317.2,13.7312377933,13.9096150364,
manmade,other,silicon_rubber_1,322.2,13.4284806641,13.5995436057,
manmade,other,silicon_rubber_2,324.6,13.8345193567,14.0161461008,
manmade,other,silicon_rubber_3,289.4,12.0174971598,12.2006488038,
manmade,other,styrofoam_1,338.2,12.0787163238,12.2632227304,
manmade,other,tan_paint_1,288.0,12.2473116353,12.4375848911,
manmade,textile,black_plastic_1,304.2,13.8345193567,14.0161461008,
manmade,textile,black_plastic_2,303.5,10.150580935,10.3474405105,
manmade,textile,black_plastic_3,322.4,13.5995436057,13.7750179654,
manmade,textile,black_plastic_4,349.1,13.5995436057,13.7750179654,
manmade,textile,black_silt_screen_1,300.0,13.5995436057,13.7750179654,
manmade,textile,black_silt_screen_2,344.6,13.5995436057,13.7750179654,
manmade,textile,black_silt_screen_dull_1,311.1,13.5995436057,13.7750179654,
manmade,textile,black_silt_screen_shiny_1,306.5,13.5420407525,13.7160258655,
manmade,textile,black_speaker_cloth_1,307.0,8.72206190221,8.92206547331,
manmade,textile,blue_tarp_1,317.7,10.3451310107,10.5490428481,
manmade,textile,blue_tarp_2,310.6,11.9749105367,12.1792430812,
manmade,textile,blue_tarp_3,300.8,13.525389855,13.6984101827,
manmade,textile,blue_tarp_dew_1,294.7,10.0851921297,10.2788993647,
manmade,textile,burlap_1,300.5,13.6984101827,13.8759113963,
manmade,textile,camo_canvas_1,317.3,13.4850217996,13.6575365458,
manmade,textile,camo_canvas_2,309.0,13.5995436057,13.7750179654,
manmade,textile,fall_woodland_camo_1,265.0,13.6984101827,13.8759113963,
manmade,textile,fall_woodland_camo_2,278.5,13.6984101827,13.8759113963,
manmade,textile,green_canvas_1,311.1,11.8397588067,12.0174971598,
manmade,textile,green_canvas_2,308.0,12.0627680229,12.2473116353,
manmade,textile,green_cotton_1,283.2,9.96106498903,10.150580935,
manmade,textile,green_kevlar_1,292.8,12.7851751116,12.9926556078,
manmade,textile,green_nylon_1,280.3,13.4284806641,13.5995436057,
manmade,textile,nylon_poncho_1,311.7,13.4850217996,13.6575365458,
manmade,textile,nylon_poncho_2,308.4,13.4850217996,13.6575365458,
manmade,textile,tyvek_1,299.3,11.4213218302,11.6175634104,
manmade,textile,white_drop_cloth_1,322.8,12.6343475744,12.8363003256,
manmade,textile,white_drop_cloth_2,306.2,11.9304302106,12.1332359803,
manmade,textile,white_drop_cloth_3,360.1,10.5231157609,10.7252064002,
manmade,textile,white_drop_cloth_4,360.1,10.2461002423,10.4460928641,
manmade,textile,white_drop_cloth_5,360.1,9.96005581345,10.148945675,
manmade,textile,white_polyester_1,308.1,13.5995436057,13.7750179654,
manmade,textile,white_polyester_2,304.2,11.9279664344,12.1083809796,
manmade,textile,white_polyester_3,298.9,11.9279664344,12.1083809796,
manmade,textile,woven_monofilament_netting_1,341.9,13.6984101827,13.8759113963,
manmade,textile,yellow_canvas_1,284.9,13.6984101827,13.8759113963,
manmade,wood,plywood_1,306.7,13.5995436057,13.7750179654,
manmade,wood,plywood_2,310.7,12.1083809796,12.2943324911,
